anchorage_id,center_lat,center_lon,event_count,vessel_count,mean_duration_hours,total_stop_points
anchorage_013,57.6609028220576,11.842623786454004,412,217,31.79126213592233,13229
anchorage_018,57.70245397308669,10.603166847624228,339,193,40.336283185840706,13785
anchorage_005,55.696008442792795,12.611858919031533,207,108,63.99516908212561,13320
anchorage_003,55.46781469590185,8.433565617789089,183,116,83.59016393442623,15324
anchorage_066,57.59301078126156,9.961012352848686,143,83,74.9090909090909,10812
anchorage_002,56.696982969258954,8.221514762673044,118,73,82.57627118644068,9824
anchorage_030,54.15790260967302,12.101105711852862,116,70,24.862068965517242,2936
anchorage_128,57.7060626411059,11.66171786045905,101,35,37.07920792079208,3834
anchorage_014,56.151370215580926,10.225395606447279,100,58,44.37,4467
anchorage_001,54.64094662503218,11.367170236543908,93,40,84.39784946236558,7766
anchorage_061,57.121492665178046,8.598549033846517,92,70,91.6413043478261,8509
anchorage_020,56.41166588100128,10.924791651026956,85,56,91.18823529411765,7790
anchorage_008,54.35458708533333,10.153914469777776,76,72,14.118421052631579,1125
anchorage_025,56.01532834706049,12.715655618858278,73,40,47.945205479452056,3521
anchorage_010,55.6226336954023,13.012787006410255,65,38,34.53846153846154,2262
anchorage_054,54.83189279193309,11.118744908263647,63,20,32.12698412698413,2033
anchorage_087,56.00224435513306,8.125310248574145,55,39,95.21818181818182,5260
anchorage_076,57.43611258007379,10.541066195079951,51,39,79.09803921568627,4065
anchorage_071,57.49244408920606,10.505153926702347,50,29,66.34,3363
anchorage_077,57.321270230982016,11.126654113554634,50,23,71.3,3615
anchorage_015,55.67474718561279,11.097358335035524,49,26,45.673469387755105,2252
anchorage_052,57.59414117563291,11.790102273734176,48,14,38.6875,1896
anchorage_060,54.57212092171717,11.92785868844697,48,10,32.770833333333336,1584
anchorage_098,54.93364624900238,10.833899873104547,48,7,26.3125,1253
anchorage_047,54.75868224661246,8.294702672086721,47,6,22.595744680851062,1107
anchorage_016,57.05853723316456,9.9143662278481,42,34,93.45238095238095,3950
anchorage_028,55.09676789551712,14.692940593363927,42,29,66.9047619047619,2833
anchorage_019,55.33177362257946,11.130996372488125,41,25,67.63414634146342,2737
anchorage_007,55.36983676201373,13.148662311212814,38,11,10.526315789473685,437
anchorage_097,56.12593020367936,12.312449231406044,37,25,101.89189189189189,3805
anchorage_012,55.08712006286044,8.567603059976932,37,15,45.972972972972975,1734
anchorage_043,54.69295555479453,8.57429044031311,37,8,26.972972972972972,1022
anchorage_011,55.86302893827575,12.831210731130492,35,29,84.62857142857143,2981
anchorage_055,55.963155359309184,11.845551922283068,32,18,73.1875,2374
anchorage_110,55.97242583169129,11.368564468390804,32,6,37.9375,1218
anchorage_069,55.094053396073896,10.23796937182448,30,9,27.966666666666665,866
anchorage_045,54.51367943636363,8.692931783116885,30,3,12.0,385
anchorage_084,55.05900837412267,10.618183411809582,29,20,112.34482758620689,3277
anchorage_065,55.46214996307094,12.199049792517007,29,18,34.6551724137931,1029
anchorage_023,55.26948348441926,9.888200681303115,29,10,23.655172413793103,706
anchorage_099,55.59763996940727,12.67845225286807,29,6,36.758620689655174,1046
anchorage_073,55.55613262898864,9.743523289075174,28,19,66.53571428571429,1849
anchorage_004,55.470661302248125,10.535505207535387,26,20,91.76923076923077,2402
anchorage_006,57.051832359945884,10.051282694857916,26,18,56.03846153846154,1478
anchorage_053,54.94223877243067,10.257354005709624,26,6,46.23076923076923,1226
anchorage_135,55.86526959375,10.548636439453125,26,2,8.846153846153847,256
anchorage_096,56.9908259254766,10.308034315857887,25,9,46.16,1154
anchorage_119,54.93801070657276,10.719989550469485,25,4,16.28,426
anchorage_088,55.91049415411869,10.25629706200177,24,6,46.333333333333336,1129
anchorage_075,57.296517049043054,10.924018549043062,24,4,33.833333333333336,836
anchorage_029,55.6053199532578,12.48891946388102,23,11,29.956521739130434,706
anchorage_092,54.916066693069304,11.359948009900991,23,4,3.391304347826087,101
anchorage_142,56.34776957412399,7.7342941851752025,22,6,17.863636363636363,371
anchorage_083,54.89170221511629,10.41273125872093,22,2,6.818181818181818,172
anchorage_009,55.49145062369895,9.494601443554844,20,20,61.55,1249
anchorage_137,57.73644823558648,11.65811020228628,20,9,49.3,1006
anchorage_113,55.720744100917436,11.709491781345566,20,4,15.45,327
anchorage_089,55.76233879591836,10.27276299659864,20,1,6.35,147
anchorage_141,55.80803788732394,10.645545598591548,20,1,6.1,142
anchorage_091,55.85709990681362,9.862217598697397,19,15,52.8421052631579,998
anchorage_070,56.03839813587787,12.614951381679392,19,10,34.21052631578947,655
anchorage_121,56.36871873117471,8.120106049698794,19,9,70.3157894736842,1328
anchorage_144,56.792996430379745,7.466185170253165,19,5,8.421052631578947,158
anchorage_080,55.879892857142856,11.137553821428574,18,1,2.888888888888889,70
anchorage_027,54.53617840063091,10.31170933280757,17,17,17.764705882352942,317
anchorage_072,55.30055018964357,10.804424703765973,17,15,86.52941176470588,1487
anchorage_064,58.18683659881423,11.2086168784585,16,16,30.625,506
anchorage_024,55.70535032517084,9.555635993166286,15,15,116.13333333333334,1756
anchorage_157,57.67849197649824,11.654597762338426,15,13,112.66666666666667,1702
anchorage_038,54.631808243710694,8.384440261006292,15,6,41.666666666666664,636
anchorage_090,55.82214056345178,10.053102402284264,15,5,51.53333333333333,788
anchorage_067,56.65748575718392,12.85429123132184,14,13,48.857142857142854,696
anchorage_078,54.81954385507247,11.015411577294687,14,5,45.57142857142857,621
anchorage_082,55.26200238854297,9.712253233499377,14,4,57.642857142857146,803
anchorage_035,54.47273854147813,9.036187670437405,13,13,50.0,663
anchorage_042,54.372770323529416,10.99497898133484,13,7,67.6923076923077,884
anchorage_046,54.68220288383838,9.99211219570707,13,5,29.46153846153846,396
anchorage_132,54.85205821568627,10.523594295900178,13,3,42.15384615384615,561
anchorage_131,55.21251742592593,11.199067685185184,13,2,7.615384615384615,108
anchorage_115,55.58707356656184,12.922412896750526,12,12,158.0,1908
anchorage_026,57.94302888650963,11.569178693790146,12,11,38.0,467
anchorage_104,54.75116529482551,10.67122165042118,12,7,69.5,831
anchorage_125,56.705674884615384,9.18343792948718,12,2,12.0,156
anchorage_133,55.96407984037558,12.004432312206571,11,11,57.27272727272727,639
anchorage_051,57.111540576429405,12.243626466744457,11,10,78.0909090909091,857
anchorage_095,56.803388137254906,9.022153382352942,11,1,4.0,51
anchorage_100,54.9992261372549,9.671150019607843,11,1,8.272727272727273,102
anchorage_105,54.935957099999996,11.371989385714286,11,1,5.363636363636363,70
anchorage_129,54.876018581081084,11.028574175675674,11,1,5.7272727272727275,74
anchorage_031,55.03899901285348,9.426511464010282,10,9,77.4,778
anchorage_106,55.059128416,15.135911152666667,10,8,74.2,750
anchorage_134,56.97554124999999,8.921995976562501,10,1,11.8,128
anchorage_000,54.22358138547486,11.998307101489758,9,9,58.77777777777778,537
anchorage_022,55.4277004032258,10.40003154032258,9,8,41.22222222222222,372
anchorage_127,57.77233126382307,11.618138206951025,9,7,69.88888888888889,633
anchorage_156,57.05887553750001,12.272497261979167,9,6,105.66666666666667,960
anchorage_063,54.9531645390625,12.46731723828125,9,5,112.88888888888889,1024
anchorage_150,57.24408154101562,12.112255535156251,9,5,59.111111111111114,512
anchorage_037,54.72742234693878,8.680392908163267,9,3,4.888888888888889,49
anchorage_107,55.110101179012354,9.514762391975307,9,1,20.22222222222222,162
anchorage_138,55.516182917948726,10.569977148717951,9,1,22.77777777777778,195
anchorage_112,55.44836060131256,10.664096235438883,8,8,151.875,1219
anchorage_159,55.55545537602628,14.359066684729063,8,8,75.125,609
anchorage_123,56.094522714285716,12.45790180952381,8,4,22.625,147
anchorage_081,54.994627082191776,9.985521842465753,8,1,8.125,73
anchorage_085,54.965853204819275,10.437188921686747,8,1,9.375,83
anchorage_093,54.969378818181816,11.50755490151515,8,1,7.625,66
anchorage_160,55.900368736842104,12.731679219298245,8,1,7.375,57
anchorage_017,55.42421111235956,13.822725109550559,7,7,24.428571428571427,178
anchorage_151,58.08231781818183,11.805268727272727,7,7,2.142857142857143,22
anchorage_074,55.76050402734375,12.602545840820312,7,6,146.14285714285714,1024
anchorage_122,56.533929895131095,10.712827823033708,7,5,76.57142857142857,534
anchorage_049,54.68194482105264,8.753778410526317,7,3,40.285714285714285,285
anchorage_109,56.71587586929134,11.511463188188978,7,3,89.71428571428571,635
anchorage_117,57.332799975961535,10.53225598076923,7,3,99.85714285714286,624
anchorage_147,56.551030545454545,11.842199590909088,7,1,3.0,22
anchorage_044,54.6295136103896,9.933025044155844,6,6,63.5,385
anchorage_050,54.8059069039548,9.451122652542374,6,6,58.333333333333336,354
anchorage_058,56.45995810674157,10.056491084269663,6,6,28.833333333333332,178
anchorage_068,56.890981937759335,12.48484836307054,6,6,40.166666666666664,241
anchorage_101,55.21880261284722,11.741863079861112,6,4,100.83333333333333,576
anchorage_036,54.57782548780488,11.417597451219512,6,2,27.5,164
anchorage_103,55.188330799999996,12.344050975,6,1,2.3333333333333335,20
anchorage_021,55.57911176948052,10.505454389610389,5,5,61.4,308
anchorage_034,54.66908243831168,9.939325764610388,5,5,60.6,308
anchorage_102,55.60954033298647,12.388164039021852,5,5,191.2,961
anchorage_116,56.560058171874985,8.300974831129809,5,5,165.4,832
anchorage_124,55.59431645045045,12.355886436186188,5,5,132.8,666
anchorage_155,55.41093182280219,12.932884934752748,5,5,144.6,728
anchorage_161,55.19914702061856,11.256612773195874,5,5,18.4,97
anchorage_152,57.56893317391304,11.577412141304347,5,4,17.4,92
anchorage_158,56.92926529461755,12.352264845609065,5,4,69.6,353
anchorage_079,54.854697124999994,10.966806625,5,3,0.6,8
anchorage_041,54.20692482608696,9.571816804347826,5,2,4.2,23
anchorage_136,54.897830695652175,13.959401456521743,5,2,8.6,46
anchorage_154,56.31643754545455,7.640537590909091,5,2,5.4,22
anchorage_059,54.22384523333334,12.071417183333331,5,1,7.0,30
anchorage_140,55.279060922330096,14.801060082524273,5,1,23.6,103
anchorage_146,55.205532567567566,15.287495499999999,5,1,8.2,37
anchorage_033,54.15272352475248,11.773068811881187,4,4,24.25,101
anchorage_040,54.41996357303371,11.191589014981272,4,4,132.5,534
anchorage_056,54.913039257446805,9.598775091489362,4,4,117.25,470
anchorage_057,54.15196263636363,9.371304,4,4,1.75,11
anchorage_062,54.892129503690036,12.047553219557196,4,4,135.5,542
anchorage_086,55.248450813229574,14.835631431906618,4,4,63.25,257
anchorage_108,56.79272428039702,8.867548891439204,4,4,201.25,806
anchorage_111,55.50449074782608,9.726813330434782,4,4,28.5,115
anchorage_114,54.90954423660714,9.782076127232143,4,4,55.0,224
anchorage_120,56.76426291124259,8.863745574950691,4,4,125.75,507
anchorage_139,56.68779365986396,10.04549506802721,4,4,36.0,147
anchorage_153,56.11011794930876,10.345889230414745,4,4,53.25,217
anchorage_118,56.716581347398034,10.125453294655415,4,3,178.0,711
anchorage_126,56.19444287899161,10.668495194117646,4,3,148.25,595
anchorage_032,54.617951705882355,13.427505088235293,4,2,3.75,17
anchorage_039,54.50359192340426,11.230834889361702,4,2,58.25,235
anchorage_048,54.4974722892562,8.807574648760331,4,2,29.25,121
anchorage_149,55.57914886238532,4.761725040366973,4,2,28.25,109
anchorage_094,54.83947571666667,11.491681583333333,4,1,14.25,60
anchorage_130,55.52276180612244,12.882431272959183,4,1,53.75,196
anchorage_143,55.50846652513967,5.062197154189944,4,1,47.75,179
anchorage_145,54.660900727272725,10.909765636363637,4,1,2.5,11
anchorage_148,57.593671125,10.677636750000001,4,1,1.25,8
anchorage_162,54.19815338625593,12.033859914691941,3,3,142.33333333333334,422
