route_label,vessel_count,mean_start_lat,mean_start_lon,mean_end_lat,mean_end_lon,mean_distance_km,mean_duration_hours
route_00,153,55.54296990849673,15.452945686274507,54.3286764117647,10.157029607843137,417.02856509482666,29.562091503267975
route_01,618,57.44755833495145,10.821323468770226,57.459276953074436,10.715500383818771,209.99591845039294,132.03883495145632
route_02,141,55.937116560283684,4.716242458156028,55.9553210070922,4.788667088652482,114.54132762353117,17.00709219858156
route_03,207,55.593337444444444,8.069248820289856,55.61273783091788,8.058140690338165,136.70094871799975,137.91787439613526
route_04,355,54.50955544225353,11.041612780281689,54.83445246760564,12.829961512676055,280.1204096069851,101.29295774647888
route_05,255,56.98139095686274,7.917656678823529,55.398183137254904,15.05942163137255,801.3162975997858,45.26274509803922
route_06,268,55.43299047761194,15.137750772388062,57.01315917537314,8.089841140671643,846.6078584669121,49.667910447761194
route_07,339,55.74051082595871,10.609922763126844,55.844755610619465,10.711822812094395,297.6626304324536,155.7197640117994
route_08,221,54.44039350678732,9.243364983710409,54.41030743438913,9.1796920719457,74.18648055452847,62.8235294117647
route_09,177,55.09165118644068,14.546184813559321,55.16055172316385,14.826658299435028,127.13641765391021,44.69491525423729
route_10,322,57.0748453726708,8.665413527329193,57.079205170807455,8.703977550621117,170.41655611683527,108.8975155279503
route_11,358,55.80197951675978,12.681289375698324,55.79981868715084,12.6772654,202.47486862242394,147.39944134078212
